                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.39204,                0.44965,                 1.6435,                0.94197,                0.95026,                0.93374,                0.85251,                0.37197,                0.51533,                 1.9487,              0.0015707,              0.0015707,              0.0015707
                     37,                0.39933,                0.42221,                  1.601,                0.94214,                0.90909,                0.92629,                0.86104,                0.36976,                0.50597,                 1.8189,               0.001568,               0.001568,               0.001568
                     38,                0.39251,                0.43192,                 1.4917,                0.90283,                0.90909,                0.92076,                0.86677,                0.36375,                0.53721,                 1.6851,              0.0015652,              0.0015652,              0.0015652
                     39,                0.39286,                0.42966,                  1.613,                0.86578,                0.90909,                0.87814,                0.84046,                0.35832,                0.55686,                 1.6169,              0.0015625,              0.0015625,              0.0015625
                     40,                0.43308,                 0.4365,                 1.6203,                0.99506,                0.89438,                0.91141,                0.86757,                0.35311,                0.47128,                 1.5194,              0.0015597,              0.0015597,              0.0015597
                     41,                 0.4199,                0.42165,                 1.5902,                0.94182,                0.90909,                0.92171,                0.87124,                0.35471,                0.45501,                 1.4609,               0.001557,               0.001557,               0.001557
                     42,                 0.4008,                0.43828,                 1.5437,                0.94678,                0.95455,                0.92852,                 0.8909,                0.32035,                0.45986,                 1.4313,              0.0015542,              0.0015542,              0.0015542
                     43,                0.44283,                0.47817,                 1.6345,                0.91123,                0.95455,                0.94202,                0.90292,                0.33626,                0.47638,                  1.379,              0.0015515,              0.0015515,              0.0015515
                     44,                0.41628,                0.44435,                 1.5646,                0.91409,                0.95455,                0.96023,                0.91954,                0.33793,                0.43612,                  1.408,              0.0015487,              0.0015487,              0.0015487
                     45,                0.39257,                0.41895,                 1.5917,                 0.9122,                0.94917,                0.95214,                0.91715,                0.33044,                0.43748,                 1.3509,               0.001546,               0.001546,               0.001546
                     46,                0.39305,                0.42067,                 1.6493,                0.98454,                0.90909,                0.94651,                0.90864,                0.33671,                0.38249,                 1.3297,              0.0015432,              0.0015432,              0.0015432
                     47,                0.40693,                0.43294,                 1.6845,                0.98676,                0.86364,                0.93009,                0.88914,                 0.3514,                0.43172,                 1.3903,              0.0015405,              0.0015405,              0.0015405
                     48,                0.40324,                0.43282,                 1.6135,                0.92881,                0.86364,                0.91144,                 0.8671,                0.39659,                0.55843,                 1.3761,              0.0015377,              0.0015377,              0.0015377
                     49,                0.46454,                0.48614,                 1.6592,                0.93953,                0.86364,                0.91408,                0.87811,                0.41134,                0.57669,                  1.452,               0.001535,               0.001535,               0.001535
                     50,                0.42194,                0.40549,                 1.5682,                0.97777,                0.86364,                0.90868,                  0.859,                0.37111,                0.48772,                 1.4417,              0.0015322,              0.0015322,              0.0015322
                     51,                0.41065,                0.41008,                 1.5878,                0.98287,                0.86334,                0.91279,                0.86738,                0.37785,                0.50157,                 1.4568,              0.0015295,              0.0015295,              0.0015295
                     52,                0.40843,                0.41056,                 1.6397,                0.99141,                0.90909,                0.91767,                0.87487,                  0.364,                0.48275,                 1.3929,              0.0015267,              0.0015267,              0.0015267
                     53,                0.41567,                0.41872,                 1.5054,                0.99315,                0.90909,                0.91764,                0.86927,                0.40048,                0.44836,                 1.3626,               0.001524,               0.001524,               0.001524
                     54,                0.41271,                0.41145,                 1.5842,                0.99323,                0.90909,                0.92018,                0.87447,                0.39009,                0.43123,                 1.3632,              0.0015212,              0.0015212,              0.0015212
                     55,                0.42296,                0.42902,                 1.5076,                0.99297,                0.90909,                0.92097,                0.87919,                0.35896,                0.42922,                 1.6649,              0.0015185,              0.0015185,              0.0015185
                     56,                0.42307,                0.42284,                 1.6097,                0.99041,                0.90909,                0.91677,                0.88144,                0.35833,                0.47557,                 2.1675,              0.0015157,              0.0015157,              0.0015157
                     57,                0.42563,                 0.4553,                 1.6634,                0.94139,                0.90909,                0.90725,                0.87119,                0.32291,                0.52781,                 2.1679,               0.001513,               0.001513,               0.001513
                     58,                0.37489,                0.37563,                 1.5386,                0.94187,                0.90909,                0.90023,                 0.8688,                0.32559,                0.53645,                 2.2175,              0.0015102,              0.0015102,              0.0015102
                     59,                 0.4156,                0.44007,                 1.5773,                0.94252,                0.90909,                0.90024,                0.86206,                0.32844,                0.53744,                 2.2439,              0.0015075,              0.0015075,              0.0015075
                     60,                0.41403,                0.43002,                 1.5977,                0.94295,                0.90909,                0.92369,                0.87877,                  0.356,                0.49697,                 1.6301,              0.0015047,              0.0015047,              0.0015047
                     61,                0.39827,                0.41872,                 1.5501,                0.93842,                0.90909,                 0.9097,                 0.8525,                0.37199,                0.49459,                 1.3958,               0.001502,               0.001502,               0.001502
                     62,                0.39786,                0.45191,                 1.6407,                0.99394,                0.86364,                0.89899,                0.84974,                0.39509,                0.54857,                 1.3863,              0.0014992,              0.0014992,              0.0014992
                     63,                0.38272,                0.38604,                 1.5569,                0.93669,                0.86364,                0.87044,                0.80477,                0.46671,                0.70419,                 1.3965,              0.0014965,              0.0014965,              0.0014965
                     64,                0.41117,                0.41671,                 1.5953,                0.92848,                0.86325,                 0.8564,                0.79916,                0.42051,                0.75138,                 1.5011,              0.0014937,              0.0014937,              0.0014937
                     65,                0.42333,                0.46398,                 1.6272,                0.88177,                0.86364,                0.87094,                0.82149,                0.42495,                 0.7212,                 1.6912,               0.001491,               0.001491,               0.001491
                     66,                0.42084,                0.41315,                 1.6012,                 0.8857,                0.86364,                0.85871,                0.80529,                 0.4128,                0.73887,                 1.8542,              0.0014882,              0.0014882,              0.0014882
                     67,                0.42348,                0.41788,                 1.6657,                0.88509,                0.86364,                0.84673,                 0.7957,                0.39579,                0.71594,                 1.7247,              0.0014855,              0.0014855,              0.0014855
                     68,                 0.4039,                0.40401,                 1.5971,                0.83595,                0.90909,                0.87424,                0.83188,                0.35618,                0.66711,                 1.5666,              0.0014827,              0.0014827,              0.0014827
                     69,                0.38597,                0.44827,                 1.5928,                0.84968,                0.86207,                0.88512,                 0.8365,                 0.3447,                0.65328,                 1.7871,                0.00148,                0.00148,                0.00148
                     70,                0.36648,                0.38303,                   1.56,                0.91048,                0.85916,                0.89715,                0.85448,                0.37276,                0.65065,                 1.8849,              0.0014772,              0.0014772,              0.0014772
                     71,                0.40261,                0.42266,                 1.5353,                 0.9125,                0.86364,                0.89659,                0.84897,                0.38504,                0.63906,                 1.7837,              0.0014745,              0.0014745,              0.0014745
                     72,                 0.3735,                0.40131,                 1.5105,                0.93465,                0.86364,                0.90156,                0.85849,                0.37835,                0.66564,                 1.4289,              0.0014717,              0.0014717,              0.0014717
                     73,                0.37017,                0.36731,                 1.4715,                 0.9355,                0.86364,                0.90233,                0.85126,                0.38823,                0.64409,                 1.4148,               0.001469,               0.001469,               0.001469
                     74,                0.37792,                 0.4149,                 1.5138,                0.89928,                0.86364,                0.89907,                0.85033,                0.38322,                0.66833,                  1.401,              0.0014662,              0.0014662,              0.0014662
                     75,                0.38517,                0.39898,                 1.5949,                0.90007,                0.89871,                0.88887,                0.83352,                0.37375,                0.65021,                 1.3702,              0.0014635,              0.0014635,              0.0014635
                     76,                0.45078,                0.42962,                 1.6213,                  0.863,                0.90909,                0.88971,                0.83602,                0.36306,                 0.6276,                 1.5214,              0.0014607,              0.0014607,              0.0014607
                     77,                0.39868,                0.42339,                 1.5708,                0.94244,                0.86364,                0.89738,                0.84557,                0.36002,                0.55889,                  1.412,               0.001458,               0.001458,               0.001458
                     78,                0.40594,                0.38952,                 1.5513,                0.93998,                0.86364,                0.89506,                0.83272,                 0.3855,                 0.6353,                 1.4109,              0.0014552,              0.0014552,              0.0014552
                     79,                0.41505,                0.41748,                  1.604,                0.94889,                0.86364,                0.88676,                0.83893,                0.38711,                0.68291,                 1.4128,              0.0014525,              0.0014525,              0.0014525
                     80,                0.40241,                0.43444,                 1.5556,                0.98247,                0.86364,                0.90131,                0.84141,                0.36067,                0.54717,                 1.4578,              0.0014497,              0.0014497,              0.0014497
                     81,                 0.3652,                0.40191,                 1.5433,                0.90624,                0.90909,                0.89919,                0.85259,                0.34894,                0.61442,                 1.4519,               0.001447,               0.001447,               0.001447
