                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2928,                  3.325,                  1.516,                 0.5652,                  0.825,                0.54021,                0.32962,                 1.0643,                 2.4038,                 1.0229,             0.00041675,             0.00041675,             0.00041675
                      2,                0.69363,                 1.2972,                 1.0651,                 0.7271,                0.86389,                0.82171,                0.62303,                0.89712,                 3.2634,                 1.1837,             0.00084849,             0.00084849,             0.00084849
                      3,                0.72486,                 1.0783,                 1.0751,                0.76374,                0.83597,                0.86173,                0.61524,                 1.0932,                 2.5779,                 1.2391,              0.0012785,              0.0012785,              0.0012785
                      4,                0.71586,                 1.0386,                 1.0723,                 0.4651,                0.70562,                0.58621,                0.35616,                 1.0806,                 8.0779,                  1.429,              0.0016571,              0.0016571,              0.0016571
                      5,                0.65799,                 1.0181,                  1.053,                0.59854,                0.70191,                0.65611,                0.32365,                  1.934,                 3.4334,                 1.8983,              0.0016538,              0.0016538,              0.0016538
                      6,                0.65936,                0.92579,                 1.0422,                0.49424,                  0.425,                0.46485,                0.25427,                 2.0777,                 3.0242,                 1.6945,              0.0016505,              0.0016505,              0.0016505
                      7,                0.59513,                  0.843,                 1.0052,                0.58276,                0.58665,                0.52456,                0.31266,                 1.4987,                 2.3921,                 1.3228,              0.0016472,              0.0016472,              0.0016472
                      8,                  0.601,                0.88117,                 1.0137,                0.72637,                0.77146,                 0.8801,                0.66603,                0.85773,                 1.0655,                 1.0422,              0.0016439,              0.0016439,              0.0016439
                      9,                 0.5854,                0.83646,                 1.0157,                0.77599,                   0.95,                0.85759,                 0.7079,                0.72153,                 1.1484,                0.93546,              0.0016406,              0.0016406,              0.0016406
                     10,                0.56336,                0.84495,                0.99706,                0.75856,                   0.95,                0.88277,                0.67665,                0.82603,                  1.106,                 1.0377,              0.0016373,              0.0016373,              0.0016373
                     11,                0.59135,                0.81622,                 1.0045,                0.93577,                0.78864,                0.90209,                 0.7414,                0.74844,                0.85283,                0.92664,               0.001634,               0.001634,               0.001634
                     12,                0.57947,                0.83972,                 1.0095,                0.78449,                0.89944,                0.92834,                0.77855,                0.67966,                0.89389,                0.90071,              0.0016307,              0.0016307,              0.0016307
                     13,                0.56349,                0.85632,                0.99363,                0.78244,                0.87955,                0.86134,                0.70021,                0.68286,                0.90493,                0.94947,              0.0016274,              0.0016274,              0.0016274
                     14,                0.54726,                0.79734,                0.98522,                0.78708,                0.90455,                0.92794,                0.73435,                0.73274,                0.77694,                0.98488,              0.0016241,              0.0016241,              0.0016241
                     15,                0.54911,                0.80658,                0.97733,                0.85908,                0.78358,                0.88107,                 0.7073,                0.71934,                0.81788,                0.94819,              0.0016208,              0.0016208,              0.0016208
                     16,                0.50573,                0.78993,                0.97236,                      1,                0.73622,                0.86253,                0.48967,                 1.1615,                 1.0371,                 1.2721,              0.0016175,              0.0016175,              0.0016175
                     17,                0.52852,                0.76369,                0.97785,                0.88483,                0.76364,                0.86032,                0.72864,                0.68121,                0.92382,                0.95808,              0.0016142,              0.0016142,              0.0016142
                     18,                 0.5328,                0.80647,                0.97875,                0.77466,                0.94351,                0.92533,                0.78545,                0.57025,                0.81326,                0.86299,              0.0016109,              0.0016109,              0.0016109
                     19,                   0.52,                0.80881,                0.97387,                0.78968,                0.93278,                0.90214,                0.77777,                0.60625,                0.89095,                0.90525,              0.0016076,              0.0016076,              0.0016076
                     20,                0.49377,                0.77881,                0.96785,                0.82511,                0.87349,                0.89767,                0.75589,                0.66978,                0.69654,                0.89308,              0.0016043,              0.0016043,              0.0016043
                     21,                 0.4782,                0.74125,                0.96746,                0.84429,                0.81655,                0.90254,                0.75724,                0.78305,                0.93483,                 1.0375,               0.001601,               0.001601,               0.001601
                     22,                0.49606,                0.76704,                0.95673,                0.83067,                0.90509,                 0.9045,                0.77195,                0.59918,                0.85167,                0.88598,              0.0015977,              0.0015977,              0.0015977
                     23,                0.47598,                0.72534,                0.94433,                0.91848,                0.76016,                0.87022,                0.74735,                0.67971,                0.87745,                0.90998,              0.0015944,              0.0015944,              0.0015944
                     24,                0.45506,                 0.7269,                0.94763,                0.97682,                0.83943,                0.96175,                0.82015,                0.58498,                    0.6,                0.84592,              0.0015911,              0.0015911,              0.0015911
                     25,                0.46665,                0.71223,                0.95331,                0.88791,                0.80159,                0.89932,                0.76228,                0.63032,                0.64405,                0.87446,              0.0015878,              0.0015878,              0.0015878
                     26,                0.45338,                0.71882,                0.94893,                0.77832,                0.89322,                0.90794,                0.79097,                0.58445,                0.62743,                0.85249,              0.0015845,              0.0015845,              0.0015845
                     27,                0.45247,                 0.7202,                0.94191,                0.98181,                0.74108,                0.93291,                0.79271,                0.62929,                0.65605,                0.88636,              0.0015812,              0.0015812,              0.0015812
                     28,                0.47669,                0.71663,                0.92975,                0.79738,                0.91807,                0.89453,                0.74838,                0.67675,                0.64444,                0.91077,              0.0015779,              0.0015779,              0.0015779
                     29,                0.43523,                0.68771,                0.95884,                 0.9158,                0.84518,                0.93561,                0.80347,                0.61859,                0.71921,                0.90982,              0.0015746,              0.0015746,              0.0015746
                     30,                0.44796,                 0.6612,                0.94487,                0.80891,                0.89627,                0.92764,                0.80349,                0.60335,                0.66585,                0.88052,              0.0015713,              0.0015713,              0.0015713
                     31,                0.44572,                0.69782,                0.92548,                0.77167,                0.94426,                0.94585,                 0.8255,                0.58309,                0.63821,                0.85343,               0.001568,               0.001568,               0.001568
                     32,                0.45377,                0.70325,                0.95113,                0.70808,                0.95506,                0.87484,                0.72817,                0.63253,                0.68056,                0.89903,              0.0015647,              0.0015647,              0.0015647
                     33,                0.44601,                0.69024,                0.93917,                0.97996,                0.79197,                0.94915,                0.82391,                0.63519,                0.60839,                0.85776,              0.0015614,              0.0015614,              0.0015614
